lat,lon
36.5953,-101.6366
37.3638,-95.2876
37.3638,-95.2876
37.4259,-88.6642
37.4259,-88.6642
37.4585,-88.7197
37.5245,-94.705
37.5245,-94.705
37.957,-98.0465
37.957,-98.0465
38.2503,-98.6217
38.2503,-98.6217
38.2503,-98.6217
38.2503,-98.6217
38.4697,-101.7526
38.5292,-101.6617
38.5292,-101.6617
38.5292,-101.6617
38.5388,-95.245
38.5388,-95.245
38.6009,-95.6458
38.9523,-88.9579
39.07,-95.76
39.07,-95.76
39.0933,-95.9408
39.0933,-95.9408
39.0978,-95.8258
39.1164,-95.9272
39.1164,-95.9272
39.1164,-95.9278
39.1164,-95.9278
39.1165,-95.9277
39.1165,-95.9277
39.1165,-95.9277
39.1184,-95.925
39.1325,-96.619
39.1339,-96.6192
39.1431,-96.6276
39.1431,-96.6276
39.1917,-96.5917
39.1917,-96.5917
39.2124,-96.5784
39.2125,-96.5989
39.2125,-96.5989
39.2125,-96.5989
39.2125,-96.5989
39.2138,-96.593
39.2138,-96.5929
39.2142,-96.5914
39.2142,-96.5914
39.2833,-95.3104
39.2833,-95.3104
39.2833,-95.3104
39.3883,-101.0719
39.3883,-101.0719
39.4238,-95.813
39.5687,-95.3525
39.7178,-96.4936
39.7731,-94.0722
39.7731,-94.0722
39.7731,-97.7886
39.7731,-97.7886
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8029,-90.8225
39.8148,-97.6729
39.8148,-97.6729
39.8346,-97.8385
39.8346,-97.8385
39.8346,-97.8385
39.8346,-97.8387
39.9148,-88.2734
39.9876,-88.2569
40.0575,-88.413
40.0575,-88.413
40.0575,-88.413
40.0575,-88.413
40.0817,-88.2251
40.1,-88.2
40.1,-88.2
40.1223,-96.6625
40.2639,-87.6081
40.278,-89.6305
40.278,-89.6305
40.278,-89.6305
40.278,-89.6305
40.2788,-89.631
40.2788,-89.631
40.3057,-87.8013
40.319,-88.282
40.3786,-96.7287
40.3786,-96.7287
40.4122,-90.4672
40.4122,-90.4672
40.4122,-90.4672
40.4122,-90.4672
40.4122,-90.4672
40.4122,-90.4672
40.4122,-90.4672
40.4634,-99.2471
40.4638,-87.9707
40.4656,-88.1792
40.5217,-98.0554
40.5245,-98.0614
40.5245,-98.0614
40.5245,-98.0614
40.528,-98.144
40.528,-98.144
40.528,-98.144
40.528,-98.144
40.528,-98.144
40.528,-98.144
40.528,-98.144
40.528,-98.144
40.528,-98.144
40.5968,-90.7443
40.5977,-90.7442
40.5998,-90.748
40.5998,-90.748
40.6014,-90.7441
40.6014,-90.7441
40.6014,-90.7441
40.6014,-90.7441
40.6666,-88.7743
40.7503,-98.7669
40.7648,-95.1441
40.7791,-98.7308
40.7823,-94.6437
40.8136,-96.7026
40.8957,-97.5799
40.9344,-90.7271
40.9727,-93.4242
40.9727,-93.4242
41.0011,-98.6076
41.0011,-98.6076
41.0011,-98.6076
41.0149,-92.3814
41.0692,-94.684
41.1033,-101.3851
41.1242,-101.3563
41.1242,-101.3563
41.1402,-100.7599
41.1402,-100.7599
41.2286,-96.4892
41.2286,-96.4892
41.2286,-96.4892
41.3487,-91.758
41.3487,-91.758
41.3793,-100.5564
41.4619,-96.7797
41.6138,-93.987
41.6138,-93.987
41.6138,-93.987
41.6138,-93.987
41.6138,-93.987
41.6138,-93.987
41.6433,-93.0203
41.6825,-93.7151
41.6825,-93.7151
41.6825,-93.7151
41.6825,-93.7151
41.6878,-93.9109
41.6878,-93.9109
41.6878,-93.9109
41.6878,-93.9109
41.6958,-95.3188
41.7531,-94.4799
41.8397,-88.8621
41.8666,-103.6671
41.8666,-103.6671
41.9167,-88.75
41.9167,-88.75
42.0011,-95.9801
42.0011,-95.9801
42.0011,-95.9801
42.0117,-93.7394
42.0117,-93.7394
42.0125,-93.7919
42.0125,-93.7919
42.0167,-93.75
42.0167,-93.75
42.0167,-93.75
42.0167,-93.75
42.0167,-93.75
42.0167,-93.75
42.0421,-92.9391
42.0421,-92.9391
42.0421,-92.9391
42.0701,-94.4787
42.0701,-94.4787
42.0815,-93.9008
42.1253,-91.6064
42.1253,-91.6064
42.1253,-91.6064
42.1253,-91.6064
42.1259,-91.6025
42.1259,-91.6025
42.1305,-91.602
42.191,-103.082
42.191,-103.082
42.191,-103.082
42.247,-93.0627
42.247,-93.0627
42.247,-93.0627
42.3368,-97.9706
42.3368,-97.9706
42.3368,-97.9706
42.3836,-96.9885
42.3836,-96.9885
42.3836,-96.9885
42.3963,-94.1521
42.4134,-93.6625
42.4362,-92.861
42.625,-93.7897
42.6705,-95.1432
42.7273,-93.6641
42.7375,-93.3367
42.7611,-92.3815
42.7996,-95.6407
42.7996,-95.6407
42.9096,-93.791
42.9096,-93.791
42.9149,-93.7919
42.9519,-92.5391
43.1106,-95.6393
43.1367,-95.1431
43.1367,-95.1431
43.1367,-95.1431
43.1579,-94.6482
43.1724,-93.2576
43.2502,-94.2332
